Id,Name,Price,Description
1,Новогодний дракон (1045/140г/32 шт),959,"Зеленый дракон:

Ролл с тунцом, сыром Филадельфия, салатом айсберг, манго, авокадо и соусом манго-чили;

Огненный дракон:

Ролл с карамелизированным лососем, угрем, сыром Филадельфия, сыром дор блю и грушей;

Тигровый дракон:

Ролл с креветкой, сыром Филадельфия, салатом айсберг, манго, авокадо и соусом манго-чили;

Феликс ролл с угрем, сыром Филадельфия, салатом айсберг с икрой тобико оранж, белым кунжутом, зеленым луком и соусом унаги."
2,Хот Рору (24шт/400/40г),429,"Темпура ролл с лососем;

Темпура ролл с угрем и огурцом;

Темпура ролл с тунцом;

Соусами унаги, манго-чили, спайси и микрогрином."
3,Квадро (8шт/220/30г),359,"Темпура ролл с лососем;

Темпура ролл с угрем;

Темпура ролл с тунцом;

Темпура ролл с сыром моцарелла;

Соусом спайси-гёдза и микрогрином."
4,Вікенд (1050г/32шт),829,"Классический ролл с лососем, сливочным сыром, авокадо и огурцом;

Ролл с креветкой, сыром филадельфия, манго, омлетом тамаго-унаги, салатом айсберг и соусом манго-чили;

Ролл-дракон с угрем, жареным лососем, сливочным сыром, сладкими шиитаке, огурцом, омлетом тамаго-унаги, кунжутом и соусом унаги;

Феликс-ролл с угрем, сурими-кимчи, сыром филадельфия, омлет тамаго-унаги, огурцом и соусом унаги."
5,Атлантик NEW (46шт/1360г),9991199,"Феликс ролл с тунцом и авокадо, сыром филадельфия, омлетом тамаго-унаги и огурцом;

Ролл с угрем панко, сыром филадельфия, авокадо, омлетом тамаго-унаги, огурцом и соусом унаги;

Феликс-ролл с угрем, сурими-кимчи, сыром филадельфия, омлетом тамаго-унаги, огурцом и соусом унаги;

Ролл с лососем и угрем, сыром филадельфия, сыром дор блю и грушей;

Маки с угрем, огурцом, соусом спайси-гьодза в кунжуте с соусом Унаги;

Ролл с угрем, сыром филадельфия, омлетом тамого-унаги, огурцом и соусом унаги."
6,Филадельфия (40шт/1280г),969,"Классический ролл с лососем, сыром филадельфия и огурцом;

Ролл с тунцом, сыром филадельфия и огурцом;

Ролл с креветкой, сыром филадельфия, огурцом и соусом манго-чили;

Ролл с угрем, сыром филадельфия, огурцом и соусом унаги в кунжуте;

Ролл с сыром филадельфия, огурцом, соусом унаги в кунжуте.



*Акция ""напиток в подарок"" не действует по средам, поскольку действует акция среда - день суши!"""
7,Филадельфия 50/50 (20шт/640г),499,"Классический ролл с лососем, сыром филадельфией и огурцом;

Ролл с тунцом, сыром филадельфия и огурцом;

Ролл с креветкой, сыром филадельфией, огурцом и соусом манго-чили;

Ролл с угрем, сыром филадельфия, огурцом и соусом унаги в кунжуте;

Ролл с сыром филадельфия, огурцом, соусом унаги в кунжуте."
8,Киото (30шт/820г),679,"Феликс ролл с масляной рыбой, сыром филадельфия, омлетом тамаго-унаги, огурцом, салатом айсберг, соусом Спайси и икрой тобика;

Ролл с лососем, авокадо, огурцом и майонезом в икре тобико;

Ролл с креветкой панко, сыром филадельфия, манго, салатом айсберг и соусом манго-чили;

Маки с огурцом"
9,Френдли (36шт/930г),699,"Феликс ролл с масляной рыбой, сыром филадельфия, омлетом тамаго-унаги, огурцом, салатом айсберг, соусом Спайси и икрой тобика;

Ролл с лососем, авокадо, огурцом и майонезом в икре тобико;

Ролл с креветкой панко, сыром филадельфия, манго, салатом айсберг и соусом манго-чили;

Маки с лососем и васаби;

Маки с огурцом"
10,Океаник(48шт/1530г),1199,"Фелікс рол з лососем, сиром філадельфія, омлетом тамаго-унагі, огірком, салатом айсберг та чорним кунжутом;

Фелікс рол з масляною рибою, сиром філадельфія, омлетом тамаго-унагі,огірком, салатом айсберг, соусом Спайсі та ікрою тобіка;

Рол з лососем, сиром філадельфія, манго, омлетом тамаго-унагі, салатом айсберг

та апельсиновим соусом;

Рол з лососем панко, сиром філадельфія, манго, салатом айсберг, соусом унагі в кунжуті;

Рол з креветкою панко, сиром філадельфія, манго, салатом айсберг та соусом манго-чилі;

Рол з креветкою, сиром філадельфія, манго, омлетом тамаго-унагі, салатом айсберг та соусом манго-чилі."
11,Лосось краш (38шт/1105г),929,"Феликс ролл с лососем, сыром филадельфия, омлетом тамаго-унаги, огурцом, икрой тобика и черным кунжутом;

Ролл с лососем панко, сыром филадельфия, манго, салатом айсберг, соусом.

унаги в кунжуте;

Ролл с лососем, сыром филадельфия, манго, омлетом тамаго-унаги, салатом айсберг и апельсиновым соусом;

Ролл с лососем, авокадо, огурцом и майонезом в икре тобико;

Маки с лососем и васаби"
12,Эби клаб ( 32шт/985г),689,"Ролл с креветкой, сыром филадельфия, манго, омлетом тамаго-унаги, салатом.

айсберг и соусом манго-чили;

Ролл с креветкой панко, сыром филадельфия, манго, салатом айсберг и соусом манго-чили;

Ролл с креветкой-панко, сыром филадельфией, манго в кунжуте;

Ролл с сурими-кимчи, омлетом тамаго-унаги, огурцом, икрой тобика"
